code,teer,title
00010,0,"Legislators"
00011,0,"Senior government managers and officials"
00012,0,"Senior managers - financial, communications and other business services"
00013,0,"Senior managers - health, education, social and community services and membership organizations"
00014,0,"Senior managers - trade, broadcasting and other services"
00015,0,"Senior managers - construction, transportation, production and utilities"
10010,0,"Financial managers"
10011,0,"Human resources managers"
10012,0,"Purchasing managers"
10019,0,"Other administrative services managers"
10020,0,"Insurance, real estate and financial brokerage managers"
10021,0,"Banking, credit and other investment managers"
10022,0,"Advertising, marketing and public relations managers"
10029,0,"Other business services managers"
10030,0,"Telecommunication carriers managers"
11100,1,"Financial auditors and accountants"
11101,1,"Financial and investment analysts"
11102,1,"Financial advisors"
11103,1,"Securities agents, investment dealers and brokers"
11109,1,"Other financial officers"
11200,2,"Human resources professionals"
11201,2,"Professional occupations in business management consulting"
11202,2,"Professional occupations in advertising, marketing and public relations"
12010,0,"Supervisors, general office and administrative support workers"
12011,0,"Supervisors, finance and insurance office workers"
12012,0,"Supervisors, library, correspondence and related information workers"
12013,0,"Supervisors, supply chain, tracking and scheduling coordination occupations"
12100,1,"Executive assistants"
12101,1,"Human resources and recruitment officers"
12102,1,"Procurement and purchasing agents and officers"
12103,1,"Conference and event planners"
12104,1,"Employment insurance and revenue officers"
12110,1,"Court reporters, medical transcriptionists and related occupations"
12111,1,"Health information management occupations"
12112,1,"Records management technicians"
12113,1,"Statistical officers and related research support occupations"
12200,2,"Accounting technicians and bookkeepers"
12201,2,"Insurance adjusters and claims examiners"
12202,2,"Insurance underwriters"
12203,2,"Assessors, business valuators and appraisers"
13100,1,"Administrative officers"
13101,1,"Property administrators"
13102,1,"Payroll administrators"
13110,1,"Administrative assistants"
13111,1,"Legal administrative assistants"
13112,1,"Medical administrative assistants"
13200,2,"Customs, ship and other brokers"
13201,2,"Production and transportation logistics coordinators"
14100,1,"General office support workers"
14101,1,"Receptionists"
14102,1,"Personnel clerks"
14103,1,"Court clerks and related court services occupations"
14110,1,"Survey interviewers and statistical clerks"
14111,1,"Data entry clerks"
14112,1,"Desktop publishing operators and related occupations"
14200,2,"Accounting and related clerks"
14201,2,"Banking, insurance and other financial clerks"
14202,2,"Collection clerks"
14300,3,"Library assistants and clerks"
14301,3,"Correspondence, publication and regulatory clerks"
14400,4,"Shippers and receivers"
14401,4,"Storekeepers and partspersons"
14402,4,"Production logistics workers"
14403,4,"Purchasing and inventory control workers"
14404,4,"Dispatchers"
14405,4,"Transportation route and crew schedulers"
20010,0,"Engineering managers"
20011,0,"Architecture and science managers"
20012,0,"Computer and information systems managers"
21100,1,"Physicists and astronomers"
21101,1,"Chemists"
21102,1,"Geoscientists and oceanographers"
21103,1,"Meteorologists and climatologists"
21109,1,"Other professional occupations in physical sciences"
21110,1,"Biologists and related scientists"
21111,1,"Forestry professionals"
21112,1,"Agricultural representatives, consultants and specialists"
21120,1,"Public and environmental health and safety professionals"
21200,2,"Architects"
21201,2,"Landscape architects"
21202,2,"Urban and land use planners"
21203,2,"Land surveyors"
21210,2,"Mathematicians, statisticians and actuaries"
21211,2,"Data scientists"
21220,2,"Cybersecurity specialists"
21221,2,"Business systems specialists"
21222,2,"Information systems specialists"
21223,2,"Database analysts and data administrators"
21230,2,"Computer systems developers and programmers"
21231,2,"Software engineers and designers"
21232,2,"Software developers and programmers"
21233,2,"Web designers"
21234,2,"Web developers and programmers"
21300,3,"Civil engineers"
21301,3,"Mechanical engineers"
21310,3,"Electrical and electronics engineers"
21311,3,"Computer engineers (except software engineers and designers)"
21320,3,"Chemical engineers"
21321,3,"Industrial and manufacturing engineers"
21322,3,"Metallurgical and materials engineers"
21330,3,"Mining engineers"
21331,3,"Geological engineers"
21332,3,"Petroleum engineers"
21390,3,"Aerospace engineers"
21399,3,"Other professional engineers"
22100,1,"Chemical technologists and technicians"
22101,1,"Geological and mineral technologists and technicians"
22110,1,"Biological technologists and technicians"
22111,1,"Agricultural and fish products inspectors"
22112,1,"Forestry technologists and technicians"
22113,1,"Conservation and fishery officers"
22114,1,"Landscape and horticulture technicians and specialists"
22210,2,"Architectural technologists and technicians"
22211,2,"Industrial designers"
22212,2,"Drafting technologists and technicians"
22213,2,"Land survey technologists and technicians"
22214,2,"Technical occupations in geomatics and meteorology"
22220,2,"Computer network and web technicians"
22221,2,"User support technicians"
22222,2,"Information systems testing technicians"
22230,2,"Non-destructive testers and inspectors"
22231,2,"Engineering inspectors and regulatory officers"
22232,2,"Occupational health and safety specialists"
22233,2,"Construction inspectors"
22300,3,"Civil engineering technologists and technicians"
22301,3,"Mechanical engineering technologists and technicians"
22302,3,"Industrial engineering and manufacturing technologists and technicians"
22303,3,"Construction estimators"
22310,3,"Electrical and electronics engineering technologists and technicians"
22311,3,"Electronic service technicians (household and business equipment)"
22312,3,"Industrial instrument technicians and mechanics"
22313,3,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors"
30010,0,"Managers in health care"
31100,1,"Specialists in clinical and laboratory medicine"
31101,1,"Specialists in surgery"
31102,1,"General practitioners and family physicians"
31103,1,"Veterinarians"
31110,1,"Dentists"
31111,1,"Optometrists"
31112,1,"Audiologists and speech-language pathologists"
31120,1,"Pharmacists"
31121,1,"Dietitians and nutritionists"
31200,2,"Psychologists"
31201,2,"Chiropractors"
31202,2,"Physiotherapists"
31203,2,"Occupational therapists"
31204,2,"Kinesiologists and other professional occupations in therapy and assessment"
31209,2,"Other professional occupations in health diagnosing and treating"
31300,3,"Nursing coordinators and supervisors"
31301,3,"Registered nurses and registered psychiatric nurses"
31302,3,"Nurse practitioners"
31303,3,"Physician assistants, midwives and allied health professionals"
32100,1,"Opticians"
32101,1,"Licensed practical nurses"
32102,1,"Paramedical occupations"
32103,1,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists"
32104,1,"Animal health technologists and veterinary technicians"
32109,1,"Other technical occupations in therapy and assessment"
32110,1,"Denturists"
